t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff
155,157,5,29,29,gcn,29,0,812,0,1.0,1.0,10
87,88,6,85,91,gcn,85,0,7650,0,1.0,1.0,5
83,87,6,78,85,gcn,78,0,6552,0,1.0,1.0,20
70,71,5,9,9,gcn,9,0,72,0,1.0,1.0,5
43,44,6,17,17,gcn,17,0,272,0,1.0,1.0,5
67,69,6,43,47,gcn,42,1,1977,1,0.9990103908955963,0.9767441860465116,10
86,87,6,85,85,gcn,85,0,7140,0,1.0,1.0,5
90,93,5,11,11,gcn,11,0,110,0,1.0,1.0,15
87,89,5,10,11,gcn,10,0,100,0,1.0,1.0,10
23,27,6,9,10,gcn,9,0,81,0,1.0,1.0,20
43,46,6,17,18,gcn,17,0,289,0,1.0,1.0,15
67,70,6,43,47,gcn,41,2,1976,2,0.9980207817911925,0.9534883720930233,15
74,76,5,10,10,gcn,10,0,90,0,1.0,1.0,10
7,11,5,3,3,gcn,3,0,6,0,1.0,1.0,20
45,48,5,7,8,gcn,7,0,49,0,1.0,1.0,15
145,149,5,24,27,gcn,24,0,624,0,1.0,1.0,20
79,80,5,10,10,gcn,10,0,90,0,1.0,1.0,5
103,105,5,14,14,gcn,14,0,182,0,1.0,1.0,10
30,33,6,11,12,gcn,11,0,121,0,1.0,1.0,15
113,115,5,15,15,gcn,15,0,210,0,1.0,1.0,10
94,95,6,120,123,gcn,120,0,14640,0,1.0,1.0,5
163,166,5,33,35,gcn,32,1,1121,1,0.9982683982683983,0.9696969696969697,15
9,13,6,6,6,gcn,6,0,30,0,1.0,1.0,20
54,55,5,8,8,gcn,8,0,56,0,1.0,1.0,5
72,75,5,9,10,gcn,9,0,81,0,1.0,1.0,15
110,111,5,14,14,gcn,14,0,182,0,1.0,1.0,5
93,97,5,11,12,gcn,11,0,121,0,1.0,1.0,20
10,11,6,6,6,gcn,6,0,30,0,1.0,1.0,5
87,91,5,10,11,gcn,10,0,100,0,1.0,1.0,20
113,116,5,15,17,gcn,15,0,240,0,1.0,1.0,15
176,178,5,37,38,gcn,37,0,1369,0,1.0,1.0,10
138,142,5,23,24,gcn,23,0,529,0,1.0,1.0,20
19,20,6,7,7,gcn,7,0,42,0,1.0,1.0,5
171,175,5,36,37,gcn,36,0,1296,0,1.0,1.0,20
85,86,6,84,85,gcn,84,0,7056,0,1.0,1.0,5
41,43,6,17,17,gcn,17,0,272,0,1.0,1.0,10
3,6,6,3,4,gcn,3,0,9,0,1.0,1.0,15
21,22,5,3,3,gcn,3,0,6,0,1.0,1.0,5
51,55,5,8,8,gcn,8,0,56,0,1.0,1.0,20
78,81,6,67,72,gcn,67,0,4757,0,1.0,1.0,15
115,118,5,15,18,gcn,13,2,253,2,0.9851851851851852,0.8666666666666667,15
68,70,6,47,47,gcn,47,0,2162,0,1.0,1.0,10
77,78,6,64,67,gcn,64,0,4224,0,1.0,1.0,5
10,14,6,6,6,gcn,6,0,30,0,1.0,1.0,20
112,116,5,15,17,gcn,15,0,240,0,1.0,1.0,20
17,20,6,6,7,gcn,6,0,36,0,1.0,1.0,15
120,123,5,19,21,gcn,19,0,380,0,1.0,1.0,15
21,24,5,3,4,gcn,3,0,9,0,1.0,1.0,15
16,18,5,3,3,gcn,3,0,6,0,1.0,1.0,10
49,50,5,8,8,gcn,8,0,56,0,1.0,1.0,5
31,35,6,11,13,gcn,10,1,131,1,0.986013986013986,0.9090909090909091,20
66,68,5,9,9,gcn,9,0,72,0,1.0,1.0,10
35,38,6,13,14,gcn,13,0,169,0,1.0,1.0,15
120,121,5,19,21,gcn,19,0,380,0,1.0,1.0,5
0,2,6,3,3,gcn,3,0,6,0,1.0,1.0,10
78,79,6,67,68,gcn,67,0,4489,0,1.0,1.0,5
28,29,6,10,10,gcn,10,0,90,0,1.0,1.0,5
90,92,5,11,11,gcn,11,0,110,0,1.0,1.0,10
39,41,5,7,7,gcn,7,0,42,0,1.0,1.0,10
66,68,6,43,47,gcn,42,1,1977,1,0.9990103908955963,0.9767441860465116,10
1,2,5,2,2,gcn,2,0,2,0,1.0,1.0,5
95,99,6,123,144,gcn,119,4,17585,4,0.9995483288166215,0.967479674796748,20
8,9,5,3,3,gcn,3,0,6,0,1.0,1.0,5
31,35,5,5,6,gcn,5,0,25,0,1.0,1.0,20
147,150,5,26,27,gcn,26,0,676,0,1.0,1.0,15
31,34,6,11,12,gcn,11,0,121,0,1.0,1.0,15
64,68,5,9,9,gcn,9,0,72,0,1.0,1.0,20
95,99,5,12,12,gcn,12,0,132,0,1.0,1.0,20
94,97,6,120,131,gcn,116,4,15596,4,0.9994910941475827,0.9666666666666667,15
69,72,6,47,50,gcn,47,0,2303,0,1.0,1.0,15
38,41,6,14,17,gcn,14,0,224,0,1.0,1.0,15
83,87,5,10,10,gcn,10,0,90,0,1.0,1.0,20
138,141,5,23,24,gcn,23,0,529,0,1.0,1.0,15
96,98,6,127,137,gcn,127,0,17272,0,1.0,1.0,10
79,81,5,10,10,gcn,10,0,90,0,1.0,1.0,10
29,32,5,4,5,gcn,4,0,16,0,1.0,1.0,15
18,19,6,7,7,gcn,7,0,42,0,1.0,1.0,5
52,55,6,26,28,gcn,26,0,702,0,1.0,1.0,15
25,28,5,4,4,gcn,4,0,12,0,1.0,1.0,15
90,94,6,102,120,gcn,101,1,12137,1,0.9998366013071895,0.9901960784313726,20
44,45,6,17,17,gcn,17,0,272,0,1.0,1.0,5
114,118,5,15,18,gcn,14,1,254,1,0.9925925925925926,0.9333333333333333,20
19,22,6,7,8,gcn,7,0,49,0,1.0,1.0,15
37,40,5,6,7,gcn,6,0,36,0,1.0,1.0,15
84,88,6,81,91,gcn,81,0,7290,0,1.0,1.0,20
23,25,6,9,9,gcn,9,0,72,0,1.0,1.0,10
3,5,6,3,3,gcn,3,0,6,0,1.0,1.0,10
95,96,6,123,127,gcn,123,0,15498,0,1.0,1.0,5
45,48,6,17,20,gcn,16,1,322,1,0.9941176470588236,0.9411764705882353,15
73,75,6,52,57,gcn,52,0,2912,0,1.0,1.0,10
58,59,5,8,8,gcn,8,0,56,0,1.0,1.0,5
62,63,5,8,9,gcn,8,0,64,0,1.0,1.0,5
100,101,5,13,14,gcn,13,0,169,0,1.0,1.0,5
44,46,6,17,18,gcn,17,0,289,0,1.0,1.0,10
76,80,5,10,10,gcn,10,0,90,0,1.0,1.0,20
19,23,5,3,4,gcn,3,0,9,0,1.0,1.0,20
51,53,6,25,26,gcn,25,0,625,0,1.0,1.0,10
20,23,5,3,4,gcn,3,0,9,0,1.0,1.0,15
61,64,5,8,9,gcn,8,0,64,0,1.0,1.0,15
22,25,5,3,4,gcn,3,0,9,0,1.0,1.0,15
61,65,5,8,9,gcn,8,0,64,0,1.0,1.0,20
82,84,5,10,10,gcn,10,0,90,0,1.0,1.0,10
8,10,5,3,3,gcn,3,0,6,0,1.0,1.0,10
42,46,6,17,18,gcn,17,0,289,0,1.0,1.0,20
